college_name,score_type,seat_type,branch,max,min,Max Rank,Min Rank
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",MHT-CET,OPEN,Computer Engineering,96.3074531,91.0466821,11076,26859
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",MHT-CET,OPEN,Information Technology,92.8198061,92.8198061,21539,21539
"Terna Engineering College, Nerul, Navi Mumbai",MHT-CET,OPEN,Computer Engineering,96.1081543,91.0449886,11674,26864
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,SC,Information Technology,93.3189344,92.2448203,20042,23264
"Terna Engineering College, Nerul, Navi Mumbai",MHT-CET,OPEN,Computer Engineering,95.7915734,91.4874509,12624,25536
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OPEN,Information Technology,93.1886737,92.1986824,20433,23403
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,92.8626955,92.3456435,21410,22962
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,97.8787583,91.1038771,6362,26687
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OPEN,Information Technology,92.8198061,91.973466,21539,24078
"Don Bosco Institute of Technology, Mumbai",MHT-CET,OPEN,Computer Engineering,92.3456435,92.3456435,22962,22962
"Don Bosco Institute of Technology, Mumbai",MHT-CET,OPEN,Information Technology,93.6035862,91.5164369,19188,25449
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OPEN,Computer Engineering,93.1639296,91.5777998,20507,25265
"Vidyalankar Institute of Technology,Wadala, Mumbai",MHT-CET,SC,Information Technology,92.8383769,91.2295664,21483,26310
"Don Bosco Institute of Technology, Mumbai",MHT-CET,OPEN,Computer Engineering,92.6252847,91.6809035,22123,24956
"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",MHT-CET,OPEN,Information Technology,92.8198061,91.4761117,21539,25570
"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",MHT-CET,OPEN,Computer Engineering,92.8198061,91.5164369,21539,25449
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",MHT-CET,OPEN,Computer Engineering,93.7059922,90.1338268,18881,29597
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OBC,Computer Engineering,92.6510305,91.1518646,22045,26543
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,SC,Computer Engineering,92.0273348,91.4761117,23917,25570
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,93.4206172,89.9588516,19737,30122
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OPEN,Computer Engineering,92.9996682,90.6908949,21000,27926
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,ST,Computer Engineering,91.6809035,91.6809035,24956,24956
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OPEN,Computer Engineering,91.6047864,91.6047864,25184,25184
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,SC,Computer Engineering,92.6265538,90.524615,22119,28425
"St. Francis Institute of Technology,Borivali, Mumbai",MHT-CET,OPEN,Computer Engineering,93.3030001,90.1338268,20090,29597
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OPEN,Information Technology,91.5164369,91.5164369,25449,25449
"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",MHT-CET,OPEN,Information Technology,93.3513667,90.269681,19944,29190
"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",MHT-CET,MI-MH,Information Technology,91.8555998,91.1115395,24432,26664
"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",MHT-CET,OPEN,Information Technology,92.9996682,89.0325033,21000,32901
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,OPEN,Information Technology,92.7152945,90.5279576,21853,28415
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",MHT-CET,OPEN,Computer Engineering,95.7915734,89.0594645,12624,32820
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",MHT-CET,OPEN,Computer Engineering,93.3030001,89.7480201,20090,30755
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",MHT-CET,OPEN,Computer Engineering,92.8626955,89.5284491,21410,31413
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,ST,Information Technology,91.1864731,91.1864731,26439,26439
"Usha Mittal Institute of Technology SNDT  Women's University, Mumbai",MHT-CET,OPEN,Computer Engineering,95.1433309,88.3304859,14569,35007
"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",MHT-CET,OPEN,Computer Engineering,94.0838243,88.9608831,17747,33116
"A. P. Shah Institute of Technology, Thane",MHT-CET,OPEN,Computer Engineering,94.7959618,88.8543387,15611,33436
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OBC,Information Technology,91.6180999,90.524615,25144,28425
"Thakur College of Engineering and Technology, Kandivali, Mumbai",MHT-CET,MI,Information Technology,93.6474925,89.3887863,19056,31832
"Terna Engineering College, Nerul, Navi Mumbai",MHT-CET,OBC,Computer Engineering,93.5601746,89.7209567,19318,30836
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OBC,Computer Engineering,90.9190268,90.9190268,27242,27242
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OBC,Information Technology,90.8966299,90.8966299,27309,27309
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OBC,Computer Engineering,91.1518646,90.5279576,26543,28415
"Terna Engineering College, Nerul, Navi Mumbai",MHT-CET,OPEN,Information Technology,93.018966,89.4839384,20942,31547
"A. P. Shah Institute of Technology, Thane",MHT-CET,OPEN,Computer Engineering,95.5165972,88.3304859,13449,35007
"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",MHT-CET,ST,Computer Engineering,92.5464629,89.0594645,22359,32820
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OPEN,Information Technology,92.0273348,89.1304347,23917,32607
"Terna Engineering College, Nerul, Navi Mumbai",MHT-CET,OBC,Computer Engineering,91.5409302,89.8715578,25376,30384
"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",MHT-CET,OPEN,Information Technology,91.5777998,89.8095193,25265,30570
"Thadomal Shahani Engineering College, Bandra, Mumbai",MHT-CET,MI,Computer Engineering,99.0283899,79.5309168,2913,61406
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",MHT-CET,OBC,Computer Engineering,92.287017,88.664007,23138,34007
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,OPEN,Information Technology,92.1986824,89.0325033,23403,32901
"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",MHT-CET,OPEN,Information Technology,93.1330675,89.5056923,20599,31482
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",MHT-CET,OPEN,Electronics and Telecommunication Engg,95.1073753,88.2761636,14676,35170
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,OBC,Information Technology,90.5561883,89.8715578,28330,30384
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,OBC,Computer Engineering,91.2295664,88.9568225,26310,33128
"St. Francis Institute of Technology,Borivali, Mumbai",MHT-CET,OPEN,Computer Engineering,90.9383249,88.9568225,27184,33128
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",MHT-CET,ST,Electrical Engineering,92.8629709,87.2542051,21410,38236
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",MHT-CET,ST,Computer Engineering,90.1338268,90.1338268,29597,29597
"Terna Engineering College, Nerul, Navi Mumbai",MHT-CET,OPEN,Information Technology,91.6047864,89.082417,25184,32751
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",MHT-CET,OPEN,Information Technology,90.9190268,88.786703,27242,33639
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",MHT-CET,OPEN,Information Technology,92.8626955,88.0563059,21410,35830
"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",MHT-CET,OPEN,Information Technology,89.8715578,89.8715578,30384,30384
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",MHT-CET,SC,Computer Engineering,89.8095193,89.8095193,30570,30570
"Atharva College of Engineering,Malad(West),Mumbai",MHT-CET,OBC,Computer Engineering,92.2067826,88.024958,23378,35924
